model,fit_time_mean_s,predict_time_mean_s,peak_mem_mean_kb
LDA,0.004118702857141172,0.3873636109522652,602.4447544642857
QDA,0.004269707142850079,0.3111308742858888,613.4784598214286
GNB,0.004404259999760792,0.0018440038096568536,1034.84375
Softmax_GD,0.7434146614286874,0.0006599914282906823,3657.9875
OVR_GD,1.1138119785715217,0.0013733714286596902,1546.815392485119
OVO_GD,1.4885551666667327,0.1612739619050401,1258.9359375
