algorithm,best_epoch,best_loss,val_f1,fit_time_s,predict_time_s,peak_mem_kb
LogReg_Newton,80.0,0.16491355024158594,0.9197994987468672,0.03726257500056818,0.00013464699986798223,1332.53515625
Laplace_LR,,,0.9170854271356784,0.0035517209998943144,0.00017769000078260433,1324.94921875
LogReg_GD,1200.0,0.1823303786646892,0.9143576826196473,0.2166712500002177,0.0001344699994660914,956.203125
LogRegReg_L2,1200.0,0.18412692183783408,0.9143576826196473,0.22387961800086487,0.00011160600115545094,919.078125
Probit_GD,1200.0,0.1738960810789634,0.912718204488778,0.6682939269994677,0.00024191299962694757,1029.287109375
LogRegReg_L1,1200.0,0.19962293618642596,0.909323116219668,0.2139330259997223,0.00012494800103013404,919.078125
