split,seed,model,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
70/30,44,Softmax_GD,0.8798735511064278,0.8666269006203129,0.4204164259999743,0.00045229199986351887,3658.3046875
70/30,44,LDA,0.9079733052335792,0.9235680034042122,0.002797400999952515,0.19874758300011308,602.64453125
70/30,44,QDA,0.8974358974358975,0.9186188439430666,0.003028553999683936,0.16453187199931563,613.7646484375
70/30,44,GNB,0.9030558482613277,0.9099993029785349,0.0032487170001331833,0.001336235999588098,913.796875
70/30,45,OVR_GD,0.8507200561995083,0.7779079196871248,0.6466473840000617,0.0008891429997675004,1549.125
70/30,45,OVO_GD,0.8932209343168247,0.8898087700622577,0.6731081900006757,0.08641332099978172,1263.5322265625
70/30,45,Softmax_GD,0.8781173164734809,0.8735760281761007,0.410193175999666,0.0004466170003070147,3658.3046875
70/30,45,LDA,0.900597119775202,0.9199512412818567,0.002774992000013299,0.19439843300006032,602.64453125
70/30,45,QDA,0.8970846505093081,0.9196807325524607,0.003052318000300147,0.16619506799997907,613.603515625
70/30,45,GNB,0.8967334035827187,0.9068053351494374,0.0032390779997513164,0.001279589000660053,913.796875
70/30,46,OVR_GD,0.8654724271162627,0.7822478451846815,0.6346445500003028,0.0008663660000820528,1549.125
70/30,46,OVO_GD,0.9020021074815595,0.8976134138852244,0.6760400859993752,0.08537620599963702,1263.5322265625
70/30,46,Softmax_GD,0.8876009834913945,0.8832841896882215,0.41068680100033816,0.00045324999973672675,3658.3046875
70/30,46,LDA,0.8984896382156656,0.9183045241934413,0.0028052420002495637,0.19550789300046745,602.64453125
70/30,46,QDA,0.9020021074815595,0.9227842481160674,0.003004488999977184,0.16775699099980557,613.7646484375
70/30,46,GNB,0.8935721812434141,0.9050816809229153,0.0032155439994312474,0.0013252089993329719,913.796875
80/20,42,OVR_GD,0.8588730911005793,0.7836708393075505,0.7093832139998995,0.0006631280002693529,1756.4765625
80/20,42,OVO_GD,0.8967877830437072,0.8908392613186017,0.7192017040006249,0.05592143000012584,1416.6845703125
80/20,42,Softmax_GD,0.8809899947340706,0.8726836377451591,0.4713373849999698,0.0003357190007591271,4169.3359375
80/20,42,LDA,0.9062664560294892,0.925346949954689,0.0032678580000720103,0.13231765199998335,678.89453125
80/20,42,QDA,0.9052132701421801,0.9258064105809761,0.003373438999915379,0.11134244300046703,690.0146484375
80/20,42,GNB,0.8999473407056345,0.909238476324225,0.0036149180004940717,0.0009439100003874046,1015.3203125
80/20,43,OVR_GD,0.8488678251711427,0.7699317968732581,0.7481896720000805,0.0006708760001856717,1756.5
80/20,43,OVO_GD,0.889942074776198,0.8805115390069134,0.7173147690000405,0.05540459399981046,1416.6845703125
