split,seed,corruption_rate,imputer,model,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
60/40,42,0.2,knn,Softmax_GD,0.8900896151818661,0.8825946265011184,0.5574550999990606,0.0011484999995445833,3147.2734375
60/40,42,0.2,knn,LDA,0.9014232999472852,0.9144168295393375,0.004617999999027234,0.4571743999986211,526.203125
60/40,42,0.2,knn,QDA,0.8848181338956247,0.9019659765673449,0.0033358000000589527,0.3586109999996552,537.2236328125
60/40,42,0.2,knn,GNB,0.8958882445967317,0.9028183079492308,0.002960400001029484,0.0013804999980493449,1190.0078125
60/40,42,0.3,mean,OVR_GD,0.8189246178176067,0.7324200330658962,0.962422599997808,0.0012638000007427763,1339.484375
60/40,42,0.3,mean,OVO_GD,0.8402741170268846,0.8164376332047582,1.3250686999999743,0.1975836999990861,1105.935546875
60/40,42,0.3,mean,Softmax_GD,0.8236689509752241,0.7946174032448922,0.5950850000008359,0.0007812999974703416,3147.2734375
60/40,42,0.3,mean,LDA,0.8410648392198208,0.8278046847827382,0.002957300002890406,0.5204979999980424,526.203125
60/40,42,0.3,mean,QDA,0.8850817079599368,0.8896075393098711,0.0028687999983958434,0.45898619999934454,537.177734375
60/40,42,0.3,mean,GNB,0.8766473379019505,0.8760000039620797,0.004164199999650009,0.002982400001201313,1194.7265625
60/40,42,0.3,median,OVR_GD,0.816552451238798,0.7274666635496586,1.1299582999999984,0.0013914000010117888,1339.484375
60/40,42,0.3,median,OVO_GD,0.8408012651555087,0.8155452789141365,1.4558001000004879,0.2244204999988142,1105.935546875
60/40,42,0.3,median,Softmax_GD,0.8207696362677912,0.7906694877831961,0.6812587999993411,0.0007655999979760963,3147.2734375
60/40,42,0.3,median,LDA,0.8394833948339483,0.8240882826003852,0.0025869000019156374,0.5226465999985521,526.203125
60/40,42,0.3,median,QDA,0.8808645229309436,0.884777210234121,0.002943399998912355,0.40020889999868814,537.2236328125
60/40,42,0.3,median,GNB,0.8758566157090142,0.8757682387806209,0.00388070000190055,0.0024717000014788937,1194.7265625
60/40,42,0.3,knn,OVR_GD,0.8579335793357934,0.7789493507364418,0.9700989999982994,0.0011555000019143336,1339.484375
60/40,42,0.3,knn,OVO_GD,0.8927253558249868,0.8852922138347917,1.314357300001575,0.20960070000000997,1105.935546875
60/40,42,0.3,knn,Softmax_GD,0.8832366895097522,0.8725986989718854,0.6281337999971583,0.000710700001945952,3147.2734375
60/40,42,0.3,knn,LDA,0.8977332630469161,0.9047422138726667,0.004044000001158565,0.4784092999980203,526.203125
60/40,42,0.3,knn,QDA,0.8500263574064312,0.8696261778732213,0.0028335999995761085,0.40445350000300095,537.177734375
60/40,42,0.3,knn,GNB,0.8887717448603057,0.8896234105119724,0.003613600001699524,0.0015743999974802136,1190.0078125
60/40,43,0.1,mean,OVR_GD,0.8439641539272535,0.7583629116576336,0.9075912999978755,0.001522599999589147,1339.484375
60/40,43,0.1,mean,OVO_GD,0.8808645229309436,0.8694935075353764,1.2735092000002624,0.217022699998779,1105.935546875
60/40,43,0.1,mean,Softmax_GD,0.8632050606220348,0.8477606105121691,0.6048135999990336,0.0006974999996600673,3147.8984375
