split,seed,model,sigma,f1_macro,f1_drop,fit_time_s,predict_time_s,peak_mem_kb
60/40,42,GNB,0.5,0.5899122004902949,0.31476731660370005,0.005418000044301152,0.002590699994470924,1194.8203125
60/40,42,GNB,1.0,0.3549281968994724,0.5497513201945226,0.004713699978310615,0.0024775000056251884,1194.8671875
60/40,43,OVR_GD,0.0,0.7781144421128978,0.0,1.3746866000001319,0.0017340999911539257,1273.953125
60/40,43,OVR_GD,0.1,0.7717289274281205,0.006385514684777327,1.368488400010392,0.0015719999792054296,1273.953125
60/40,43,OVR_GD,0.5,0.6755433908401501,0.10257105127274768,1.3616295999963768,0.0016095000319182873,1273.953125
60/40,43,OVR_GD,1.0,0.5602632504119064,0.21785119170099143,1.3765102999750525,0.0015891999937593937,1273.9765625
60/40,43,OVO_GD,0.0,0.894193282905151,0.0,2.4403717000386678,0.35962770000332966,1078.357421875
60/40,43,OVO_GD,0.1,0.8907367102743067,0.0034565726308443123,2.282637500029523,0.3792853999766521,1078.966796875
60/40,43,OVO_GD,0.5,0.7689891558647651,0.12520412704038586,2.4935638000024483,0.4283539999742061,1078.333984375
60/40,43,OVO_GD,1.0,0.6297181724402229,0.2644751104649281,2.7135507999919355,0.38174839998828247,1078.333984375
60/40,43,Softmax_GD,0.0,0.8744806370915897,0.0,0.6454436999629252,0.0009693999891169369,3147.2265625
60/40,43,Softmax_GD,0.1,0.8688821561023834,0.005598480989206345,0.7092334000044502,0.0012919000000692904,3147.203125
60/40,43,Softmax_GD,0.5,0.7545109075834742,0.11996972950811557,0.7876114000100642,0.0008421000093221664,3147.8359375
60/40,43,Softmax_GD,1.0,0.5999733642308746,0.2745072728607152,0.7511318000033498,0.0008806000114418566,3147.203125
60/40,43,LDA,0.0,0.9210971894228924,0.0,0.003753800003323704,0.7494677999638952,526.3671875
60/40,43,LDA,0.1,0.38250686986383803,0.5385903195590545,0.010315300023648888,0.7367216999991797,526.34375
60/40,43,LDA,0.5,0.13850001211551752,0.7825971773073749,0.00676499999826774,0.7066516000195406,526.25
60/40,43,LDA,1.0,0.11227456506926606,0.8088226243536264,0.0036554000107571483,0.7393806999898516,526.25
60/40,43,QDA,0.0,0.9212500977400505,0.0,0.0066488999873399734,0.6254711999790743,537.1318359375
60/40,43,QDA,0.1,0.14079980706247391,0.7804502906775765,0.0043320999830029905,0.7060209999908693,536.9833984375
60/40,43,QDA,0.5,0.10617374060974798,0.8150763571303026,0.005269099958240986,0.7633305999916047,536.9208984375
60/40,43,QDA,1.0,0.10728226570329939,0.8139678320367512,0.006928599963430315,0.7048093000194058,536.9208984375
60/40,43,GNB,0.0,0.9036134349871402,0.0,0.0061086000059731305,0.0032284000189974904,1194.953125
60/40,43,GNB,0.1,0.7429810728480508,0.16063236213908938,0.005957100016530603,0.004036600003018975,1194.796875
60/40,43,GNB,0.5,0.6069356890132729,0.2966777459738673,0.006181299977470189,0.0025266000302508473,1194.8203125
60/40,43,GNB,1.0,0.354720864024239,0.5488925709629011,0.0059634000062942505,0.0024477000115439296,1194.8671875
60/40,44,OVR_GD,0.0,0.7735606340431872,0.0,1.497140199993737,0.001608499966096133,1273.953125
60/40,44,OVR_GD,0.1,0.7731756665975474,0.00038496744563976115,1.4711926999734715,0.0016577999922446907,1273.953125
60/40,44,OVR_GD,0.5,0.6827512285112795,0.09080940553190775,1.4178714000154287,0.0016136000049300492,1273.953125
60/40,44,OVR_GD,1.0,0.5215684992140702,0.251992134829117,1.4082292000530288,0.0016886999947018921,1273.9765625
60/40,44,OVO_GD,0.0,0.8819655149596899,0.0,2.2431153000216,0.38630640000337735,1078.990234375
60/40,44,OVO_GD,0.1,0.87718188016413,0.004783634795559877,2.2759123999858275,0.36567339999601245,1078.333984375
60/40,44,OVO_GD,0.5,0.7874312787074816,0.09453423625220825,2.2593879000050947,0.37721760000567883,1078.333984375
60/40,44,OVO_GD,1.0,0.592639638543999,0.28932587641569085,2.3473884999984875,0.44835399999283254,1078.333984375
60/40,44,Softmax_GD,0.0,0.869528682326766,0.0,0.5856125999707729,0.0008496000082232058,3147.2265625
60/40,44,Softmax_GD,0.1,0.8708951659079051,-0.0013664835811391107,0.580203999998048,0.0007280000136233866,3147.8359375
60/40,44,Softmax_GD,0.5,0.7618794195062207,0.10764926282054521,0.5851556999841705,0.0007556999917142093,3147.203125
60/40,44,Softmax_GD,1.0,0.5614754698103311,0.3080532125164348,0.5813914000173099,0.000762399984523654,3147.203125
60/40,44,LDA,0.0,0.9200384398057224,0.0,0.003424299997277558,0.7276298000360839,526.3671875
60/40,44,LDA,0.1,0.37097032895762244,0.5490681108480999,0.003904000041075051,0.7063914000173099,526.34375
60/40,44,LDA,0.5,0.13923959273102257,0.7807988470746998,0.004154800029937178,0.7164060000213794,526.25
60/40,44,LDA,1.0,0.11007605445454229,0.8099623853511801,0.004190500010736287,0.7037120000459254,526.25
60/40,44,QDA,0.0,0.9208824286829392,0.0,0.00466109998524189,0.5911675000097603,537.2236328125
60/40,44,QDA,0.1,0.1379764584610577,0.7829059702218816,0.004517800000030547,0.581948300008662,536.9833984375
60/40,44,QDA,0.5,0.09957206869308625,0.821310359989853,0.004466900019906461,0.5742878000019118,536.9208984375
60/40,44,QDA,1.0,0.09732947254895087,0.8235529561339884,0.004531200043857098,0.5811346000409685,536.966796875
60/40,44,GNB,0.0,0.9067132045735834,0.0,0.004640200000721961,0.0027495999820530415,1194.953125
60/40,44,GNB,0.1,0.7436929514964745,0.16302025307710888,0.004824899951927364,0.0025168000138364732,1194.796875
60/40,44,GNB,0.5,0.593790059889887,0.3129231446836964,0.005257700046058744,0.0024026999599300325,1194.8203125
60/40,44,GNB,1.0,0.33415312500206096,0.5725600795715224,0.00531889998819679,0.0026163000147789717,1194.8671875
60/40,45,OVR_GD,0.0,0.7759349401271648,0.0,1.4002922999789007,0.0016264000441879034,1273.953125
60/40,45,OVR_GD,0.1,0.7672495776529656,0.008685362474199154,1.3942312999861315,0.0016095999744720757,1273.953125
60/40,45,OVR_GD,0.5,0.6811366512870654,0.09479828884009944,1.4027495000045747,0.0018172000418417156,1274.5859375
