split,seed,model,fold,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
60/40,46,LDA,1,0.9017543859649123,0.9188733289397985,0.00195436800004245,0.07897262000005867,434.79296875
60/40,46,LDA,2,0.9077328646748682,0.9259261776231231,0.0018878069995480473,0.07792569399953209,434.66796875
60/40,46,LDA,3,0.9076517150395779,0.9255911011302759,0.0019150580001223716,0.07877571500011982,434.66796875
60/40,46,LDA,4,0.9006156552330695,0.9146051436460534,0.0018900770000982448,0.07843693000086205,434.66796875
60/40,46,LDA,5,0.8985890652557319,0.9135269233176337,0.0018753199992715963,0.07773515400003816,435.04296875
60/40,46,QDA,1,0.9035087719298246,0.9196955358491037,0.002383087999987765,0.06679908800015255,445.689453125
60/40,46,QDA,2,0.9068541300527241,0.9261734780753732,0.002261168000586622,0.06711868799993681,445.6806640625
60/40,46,QDA,3,0.9041336851363236,0.9250710357131241,0.0022474549996331916,0.06701501299994561,445.734375
60/40,46,QDA,4,0.9032541776605101,0.919123527135341,0.002245413999844459,0.06566953000037756,445.626953125
60/40,46,QDA,5,0.892416225749559,0.9071431776740011,0.002196679999542539,0.0658164910000778,446.087890625
60/40,46,GNB,1,0.8973684210526316,0.9074006315105618,0.002401476999693841,0.0006674120004390716,635.921875
60/40,46,GNB,2,0.9050966608084359,0.9145470561727338,0.0023860410001361743,0.000654700000268349,636.171875
60/40,46,GNB,3,0.9023746701846965,0.9123028298318673,0.002392053999756172,0.0006566739994013915,636.3203125
60/40,46,GNB,4,0.8962181178540017,0.9053923681587399,0.002367174999562849,0.0006546519998664735,636.3203125
60/40,46,GNB,5,0.8871252204585538,0.8941883069926886,0.002356516999498126,0.000661762000163435,636.6953125
70/30,42,OVR_GD,1,0.8707738542449286,0.7964607100277571,0.5365487689996371,0.0005700100000467501,1258.1484375
70/30,42,OVR_GD,2,0.8659638554216867,0.7918497611027846,0.5332751569994798,0.0005535810005312669,1258.5
70/30,42,OVR_GD,3,0.8514328808446455,0.7646884295583564,0.5304995930000587,0.0005562070000451058,1258.9375
70/30,42,OVR_GD,4,0.8557401812688822,0.7709697895940726,0.5405305059994134,0.0005511439994734246,1259.375
70/30,42,OVR_GD,5,0.8534743202416919,0.7814615089723824,0.5399307100005899,0.0006061210006009787,1259.375
70/30,42,OVO_GD,1,0.9105935386927122,0.9061513681272932,0.6084721250008442,0.03833701399980782,1048.826171875
70/30,42,OVO_GD,2,0.8990963855421686,0.8955397800036403,0.6060131260001071,0.03825742299977719,1049.2041015625
70/30,42,OVO_GD,3,0.8936651583710408,0.8854859306493779,0.6068447039997409,0.037536341000304674,1050.0771484375
70/30,42,OVO_GD,4,0.8950151057401813,0.8832134980652894,0.6464557760000389,0.038598371999796655,1049.5595703125
70/30,42,OVO_GD,5,0.9018126888217523,0.888384262322681,0.6255246729997452,0.03806515999986004,1049.5595703125
70/30,42,Softmax_GD,1,0.8933132982719759,0.8897136340885995,0.33511446800002886,0.0002348810003240942,2940.8515625
70/30,42,Softmax_GD,2,0.8802710843373494,0.8750664649994422,0.33928462299991224,0.0002429489995847689,2942.4921875
70/30,42,Softmax_GD,3,0.8778280542986425,0.8688485804488265,0.33579530700080795,0.0002379829993515159,2943.5703125
70/30,42,Softmax_GD,4,0.879154078549849,0.8673356489593568,0.3463284389999899,0.00023847899956308538,2944.6484375
70/30,42,Softmax_GD,5,0.8829305135951662,0.8714019078712152,0.33333753300030367,0.00024535899956390494,2944.6484375
70/30,42,LDA,1,0.9030803906836965,0.9221220157557617,0.002259730000332638,0.09239797699956398,495.66796875
